%EASTINGS(m) NORTHINGS(m)
%EuropeCoastLine (1:2,000000)
nan nan
964548.6 -696406.7
964418.0 -695991.1
964137.5 -695784.9
963743.8 -695653.9
963422.2 -695812.2
963050.4 -695941.8
962641.1 -695910.5
962289.5 -695710.3
961940.6 -695542.6
961612.7 -695340.3
961219.1 -695209.1
960757.0 -695116.5
960294.8 -695023.7
959840.9 -695028.8
959469.1 -695158.3
959200.3 -695377.6
958910.6 -695631.4
958668.4 -695881.3
958455.2 -696194.3
958109.8 -696354.3
957788.1 -696512.3
957363.3 -696580.4
956909.2 -696585.2
956431.5 -696592.1
956165.3 -696843.7
955949.3 -697124.1
955709.6 -697406.5
955390.5 -697597.0
955018.5 -697726.2
954746.9 -697912.7
954538.9 -698290.8
954402.2 -698663.0
954321.0 -699128.9
954269.0 -699658.2
954504.3 -699901.3
950654.3 -699922.6
950279.2 -699723.6
949885.6 -699591.8
949492.2 -699460.0
949164.6 -699257.0
948816.0 -699088.7
948467.4 -698920.3
948116.2 -698719.4
947788.7 -698516.4
947508.9 -698309.6
947133.9 -698110.5
946877.8 -697901.8
946526.7 -697700.7
946220.4 -697463.1
945938.0 -697223.7
945724.1 -696945.8
945555.1 -696631.6
945431.0 -696280.8
945346.4 -695828.4
945356.8 -695368.3
945343.5 -694910.2
945330.2 -694452.0
945385.4 -693955.5
945438.0 -693426.3
945469.4 -692931.7
945524.6 -692435.1
945577.1 -691906.1
945632.2 -691409.4
945663.6 -690914.9
945650.2 -690456.7
945634.2 -689966.0
945644.5 -689505.9
945631.0 -689047.7
945575.5 -688658.6
945559.3 -688167.8
945501.1 -687746.1
945377.0 -687395.4
945318.8 -686973.6
945192.1 -686590.3
945068.0 -686239.5
944896.6 -685892.6
944727.8 -685578.4
944559.0 -685264.1
944366.5 -684951.7
944153.0 -684673.8
943957.9 -684328.8
943747.1 -684083.6
943551.9 -683738.6
943383.2 -683424.3
943167.1 -683113.8
942909.0 -682872.4
942692.9 -682561.8
942500.6 -682249.5
942287.2 -681971.6
942050.2 -681695.5
941836.8 -681417.6
941531.3 -681180.0
941249.6 -680940.3
940970.5 -680733.4
940562.5 -680700.8
940588.9 -681026.7
940736.3 -681375.6
940928.6 -681688.0
941123.4 -682033.1
941268.3 -682349.4
941460.6 -682661.8
941631.9 -683008.7
941800.5 -683323.1
942037.5 -683599.1
942250.9 -683877.0
942445.9 -684222.0
942656.7 -684467.4
942851.8 -684812.4
943020.5 -685126.7
943189.2 -685441.1
943384.2 -685786.1
943553.0 -686100.3
943655.9 -686485.6
943779.8 -686836.3
943903.8 -687187.1
944030.5 -687570.6
944157.1 -687953.9
944167.8 -688379.4
944157.4 -688839.5
944173.4 -689330.3
944255.3 -689750.0
944310.8 -690139.2
944416.4 -690557.0
